17:52:25 1565686345810 training Start
17:52:26 1565686346864 step 0, accuracy 0.2
17:52:27 1565686347002 step 10, accuracy 0
17:52:27 1565686347130 step 20, accuracy 0.1
17:52:27 1565686347253 step 30, accuracy 0.1
17:52:27 1565686347366 step 40, accuracy 0.2
17:52:27 1565686347476 step 50, accuracy 0.3
17:52:27 1565686347594 step 60, accuracy 0.1
17:52:27 1565686347704 step 70, accuracy 0.3
17:52:27 1565686347838 step 80, accuracy 0.1
17:52:27 1565686347957 step 90, accuracy 0.3
17:52:28 1565686348079 step 100, accuracy 0.1
17:52:28 1565686348210 step 110, accuracy 0.1
17:52:28 1565686348351 step 120, accuracy 0.1
17:52:28 1565686348473 step 130, accuracy 0.3
17:52:28 1565686348591 step 140, accuracy 0.3
17:52:28 1565686348709 step 150, accuracy 0.1
17:52:28 1565686348836 step 160, accuracy 0.3
17:52:28 1565686348953 step 170, accuracy 0.3
17:52:29 1565686349078 step 180, accuracy 0.1
17:52:29 1565686349217 step 190, accuracy 0.3
17:52:29 1565686349348 step 200, accuracy 0.1
17:52:29 1565686349472 step 210, accuracy 0.3
17:52:29 1565686349598 step 220, accuracy 0.1
17:52:29 1565686349731 step 230, accuracy 0.3
17:52:29 1565686349868 step 240, accuracy 0.1
17:52:29 1565686349993 step 250, accuracy 0.3
17:52:30 1565686350125 step 260, accuracy 0.2
17:52:30 1565686350256 step 270, accuracy 0.3
17:52:30 1565686350393 step 280, accuracy 0.1
17:52:30 1565686350517 step 290, accuracy 0.3
17:52:30 1565686350645 step 300, accuracy 0.1
17:52:30 1565686350771 step 310, accuracy 0.1
17:52:30 1565686350898 step 320, accuracy 0.3
17:52:31 1565686351030 step 330, accuracy 0.5
17:52:31 1565686351159 step 340, accuracy 0.1
17:52:31 1565686351289 step 350, accuracy 0.3
17:52:31 1565686351424 step 360, accuracy 0.1
17:52:31 1565686351555 step 370, accuracy 0.5
17:52:31 1565686351690 step 380, accuracy 0.1
17:52:31 1565686351824 step 390, accuracy 0.3
17:52:31 1565686351954 step 400, accuracy 0.1
17:52:32 1565686352085 step 410, accuracy 0.3
17:52:32 1565686352221 step 420, accuracy 0.1
17:52:32 1565686352354 step 430, accuracy 0.3
17:52:32 1565686352485 step 440, accuracy 0.1
17:52:32 1565686352616 step 450, accuracy 0.3
17:52:32 1565686352744 step 460, accuracy 0.1
17:52:32 1565686352865 step 470, accuracy 0.3
17:52:32 1565686352994 step 480, accuracy 0.1
17:52:33 1565686353116 step 490, accuracy 0.3
17:52:33 1565686353259 step 500, accuracy 0.1
17:52:33 1565686353391 step 510, accuracy 0.3
17:52:33 1565686353511 step 520, accuracy 0.1
17:52:33 1565686353641 step 530, accuracy 0.3
17:52:33 1565686353764 step 540, accuracy 0.1
17:52:33 1565686353889 step 550, accuracy 0.3
17:52:34 1565686354021 step 560, accuracy 0.1
17:52:34 1565686354151 step 570, accuracy 0.3
17:52:34 1565686354286 step 580, accuracy 0.1
17:52:34 1565686354410 step 590, accuracy 0.4
17:52:34 1565686354545 step 600, accuracy 0.4
17:52:34 1565686354677 step 610, accuracy 0.3
17:52:34 1565686354808 step 620, accuracy 0.1
17:52:34 1565686354931 step 630, accuracy 0.3
17:52:35 1565686355057 step 640, accuracy 0.1
17:52:35 1565686355191 step 650, accuracy 0.3
17:52:35 1565686355328 step 660, accuracy 0.4
17:52:35 1565686355469 step 670, accuracy 0.4
17:52:35 1565686355603 step 680, accuracy 0.4
17:52:35 1565686355744 step 690, accuracy 0.4
17:52:35 1565686355888 step 700, accuracy 0.2
17:52:36 1565686356012 step 710, accuracy 0.3
17:52:36 1565686356134 step 720, accuracy 0.1
17:52:36 1565686356263 step 730, accuracy 0.3
17:52:36 1565686356380 step 740, accuracy 0.1
17:52:36 1565686356493 step 750, accuracy 0.4
17:52:36 1565686356634 step 760, accuracy 0.4
17:52:36 1565686356758 step 770, accuracy 0.5
17:52:36 1565686356885 step 780, accuracy 0.4
17:52:37 1565686357003 step 790, accuracy 0.4
17:52:37 1565686357115 step 800, accuracy 0.3
