14:48:09 1566193689475 training Start
14:48:10 1566193690857 step 0, accuracy 0.08
14:48:11 1566193691804 step 50, accuracy 0.06
14:48:12 1566193692734 step 100, accuracy 0.08
14:48:13 1566193693667 step 150, accuracy 0.1
14:48:14 1566193694572 step 200, accuracy 0.08
14:48:15 1566193695486 step 250, accuracy 0.16
14:48:16 1566193696819 step 300, accuracy 0.24
14:48:17 1566193697759 step 350, accuracy 0.28
14:48:18 1566193698733 step 400, accuracy 0.24
14:48:19 1566193699713 step 450, accuracy 0.32
14:48:20 1566193700653 step 500, accuracy 0.4
14:48:21 1566193701614 step 550, accuracy 0.42
14:48:22 1566193702582 step 600, accuracy 0.5
14:48:23 1566193703496 step 650, accuracy 0.42
14:48:24 1566193704396 step 700, accuracy 0.4
14:48:25 1566193705356 step 750, accuracy 0.38
14:48:26 1566193706252 step 800, accuracy 0.5
14:48:27 1566193707175 step 850, accuracy 0.48
14:48:28 1566193708064 step 900, accuracy 0.4
14:48:28 1566193708931 step 950, accuracy 0.48
14:48:29 1566193709838 step 1000, accuracy 0.56
14:48:30 1566193710727 step 1050, accuracy 0.52
14:48:31 1566193711693 step 1100, accuracy 0.46
14:48:32 1566193712609 step 1150, accuracy 0.58
14:48:33 1566193713540 step 1200, accuracy 0.66
14:48:34 1566193714518 step 1250, accuracy 0.48
14:48:35 1566193715485 step 1300, accuracy 0.5
14:48:36 1566193716427 step 1350, accuracy 0.6
14:48:37 1566193717384 step 1400, accuracy 0.68
14:48:38 1566193718289 step 1450, accuracy 0.52
14:48:39 1566193719205 step 1500, accuracy 0.5
14:48:40 1566193720056 step 1550, accuracy 0.56
14:48:40 1566193720984 step 1600, accuracy 0.66
14:48:41 1566193721888 step 1650, accuracy 0.56
14:48:42 1566193722863 step 1700, accuracy 0.5
14:48:43 1566193723736 step 1750, accuracy 0.56
14:48:44 1566193724694 step 1800, accuracy 0.72
14:48:45 1566193725712 step 1850, accuracy 0.56
14:48:46 1566193726569 step 1900, accuracy 0.5
14:48:47 1566193727459 step 1950, accuracy 0.58
14:48:48 1566193728408 step 2000, accuracy 0.7
14:48:49 1566193729346 step 2050, accuracy 0.58
14:48:50 1566193730280 step 2100, accuracy 0.5
14:48:51 1566193731214 step 2150, accuracy 0.56
14:48:52 1566193732140 step 2200, accuracy 0.72
14:48:53 1566193733066 step 2250, accuracy 0.62
14:48:53 1566193733994 step 2300, accuracy 0.52
14:48:54 1566193734975 step 2350, accuracy 0.6
14:48:55 1566193735876 step 2400, accuracy 0.7
14:48:56 1566193736810 step 2450, accuracy 0.64
14:48:57 1566193737764 step 2500, accuracy 0.5
14:48:58 1566193738637 step 2550, accuracy 0.64
14:48:59 1566193739575 step 2600, accuracy 0.66
14:49:00 1566193740557 step 2650, accuracy 0.6
14:49:01 1566193741484 step 2700, accuracy 0.52
14:49:02 1566193742469 step 2750, accuracy 0.58
14:49:03 1566193743382 step 2800, accuracy 0.72
14:49:04 1566193744300 step 2850, accuracy 0.64
14:49:05 1566193745223 step 2900, accuracy 0.56
14:49:06 1566193746101 step 2950, accuracy 0.6
14:49:06 1566193746973 step 3000, accuracy 0.66
14:49:07 1566193747845 step 3050, accuracy 0.66
14:49:08 1566193748644 step 3100, accuracy 0.62
14:49:09 1566193749499 step 3150, accuracy 0.6
14:49:10 1566193750424 step 3200, accuracy 0.66
14:49:11 1566193751375 step 3250, accuracy 0.64
14:49:12 1566193752266 step 3300, accuracy 0.64
14:49:13 1566193753207 step 3350, accuracy 0.66
14:49:14 1566193754097 step 3400, accuracy 0.74
14:49:15 1566193755014 step 3450, accuracy 0.68
14:49:15 1566193755938 step 3500, accuracy 0.66
14:49:16 1566193756897 step 3550, accuracy 0.66
14:49:17 1566193757848 step 3600, accuracy 0.72
14:49:18 1566193758802 step 3650, accuracy 0.68
14:49:19 1566193759737 step 3700, accuracy 0.64
14:49:20 1566193760626 step 3750, accuracy 0.74
14:49:21 1566193761525 step 3800, accuracy 0.78
14:49:22 1566193762434 step 3850, accuracy 0.72
14:49:23 1566193763363 step 3900, accuracy 0.64
14:49:24 1566193764315 step 3950, accuracy 0.74
14:49:25 1566193765193 step 4000, accuracy 0.76
14:49:26 1566193766117 step 4050, accuracy 0.68
14:49:27 1566193767078 step 4100, accuracy 0.68
14:49:28 1566193768035 step 4150, accuracy 0.72
14:49:28 1566193768954 step 4200, accuracy 0.74
14:49:29 1566193769838 step 4250, accuracy 0.74
14:49:30 1566193770752 step 4300, accuracy 0.68
14:49:31 1566193771665 step 4350, accuracy 0.7
14:49:32 1566193772534 step 4400, accuracy 0.78
14:49:33 1566193773420 step 4450, accuracy 0.72
14:49:34 1566193774336 step 4500, accuracy 0.68
14:49:35 1566193775211 step 4550, accuracy 0.72
14:49:36 1566193776127 step 4600, accuracy 0.84
14:49:37 1566193777020 step 4650, accuracy 0.74
14:49:37 1566193777950 step 4700, accuracy 0.68
14:49:38 1566193778839 step 4750, accuracy 0.72
14:49:39 1566193779762 step 4800, accuracy 0.8
14:49:40 1566193780706 step 4850, accuracy 0.72
14:49:41 1566193781701 step 4900, accuracy 0.62
14:49:42 1566193782688 step 4950, accuracy 0.74
14:49:43 1566193783599 step 5000, accuracy 0.82
14:49:44 1566193784506 step 5050, accuracy 0.74
14:49:45 1566193785415 step 5100, accuracy 0.72
14:49:46 1566193786286 step 5150, accuracy 0.72
14:49:47 1566193787197 step 5200, accuracy 0.78
14:49:48 1566193788170 step 5250, accuracy 0.76
14:49:49 1566193789057 step 5300, accuracy 0.68
14:49:49 1566193789962 step 5350, accuracy 0.74
14:49:50 1566193790900 step 5400, accuracy 0.76
14:49:51 1566193791830 step 5450, accuracy 0.78
14:49:52 1566193792713 step 5500, accuracy 0.68
14:49:53 1566193793625 step 5550, accuracy 0.74
14:49:54 1566193794533 step 5600, accuracy 0.76
14:49:55 1566193795390 step 5650, accuracy 0.78
14:49:56 1566193796277 step 5700, accuracy 0.68
