10:13:35 1566263615093 training Start
10:13:36 1566263616224 step 0, accuracy 0.1
10:13:37 1566263617247 step 50, accuracy 0.1
10:13:38 1566263618215 step 100, accuracy 0.1
10:13:39 1566263619096 step 150, accuracy 0.08
10:13:40 1566263620006 step 200, accuracy 0.08
10:13:40 1566263620962 step 250, accuracy 0.1
10:13:42 1566263622031 step 300, accuracy 0.18
10:13:43 1566263623015 step 350, accuracy 0.08
10:13:44 1566263624020 step 400, accuracy 0.08
10:13:45 1566263625025 step 450, accuracy 0.08
10:13:45 1566263625920 step 500, accuracy 0.06
10:13:46 1566263626956 step 550, accuracy 0.08
10:13:47 1566263627904 step 600, accuracy 0.08
10:13:48 1566263628945 step 650, accuracy 0.1
10:13:49 1566263629896 step 700, accuracy 0.22
10:13:50 1566263630855 step 750, accuracy 0.28
10:13:51 1566263631824 step 800, accuracy 0.1
10:13:52 1566263632890 step 850, accuracy 0.1
10:13:53 1566263633843 step 900, accuracy 0.24
10:13:54 1566263634759 step 950, accuracy 0.2
10:13:55 1566263635666 step 1000, accuracy 0.14
10:13:56 1566263636588 step 1050, accuracy 0.22
10:13:57 1566263637528 step 1100, accuracy 0.3
10:13:58 1566263638458 step 1150, accuracy 0.42
10:13:59 1566263639411 step 1200, accuracy 0.4
10:14:00 1566263640338 step 1250, accuracy 0.38
10:14:01 1566263641248 step 1300, accuracy 0.44
10:14:02 1566263642204 step 1350, accuracy 0.44
10:14:03 1566263643196 step 1400, accuracy 0.52
10:14:04 1566263644160 step 1450, accuracy 0.42
10:14:05 1566263645139 step 1500, accuracy 0.44
10:14:06 1566263646202 step 1550, accuracy 0.58
10:14:07 1566263647143 step 1600, accuracy 0.5
10:14:08 1566263648070 step 1650, accuracy 0.46
10:14:09 1566263649027 step 1700, accuracy 0.46
10:14:09 1566263649999 step 1750, accuracy 0.52
10:14:10 1566263650994 step 1800, accuracy 0.56
10:14:11 1566263651905 step 1850, accuracy 0.5
10:14:12 1566263652877 step 1900, accuracy 0.52
10:14:13 1566263653898 step 1950, accuracy 0.56
10:14:14 1566263654928 step 2000, accuracy 0.54
10:14:15 1566263655915 step 2050, accuracy 0.48
10:14:16 1566263656883 step 2100, accuracy 0.6
10:14:17 1566263657840 step 2150, accuracy 0.52
10:14:18 1566263658825 step 2200, accuracy 0.54
10:14:19 1566263659828 step 2250, accuracy 0.52
10:14:20 1566263660829 step 2300, accuracy 0.6
10:14:21 1566263661788 step 2350, accuracy 0.52
10:14:22 1566263662813 step 2400, accuracy 0.56
10:14:23 1566263663798 step 2450, accuracy 0.52
10:14:24 1566263664732 step 2500, accuracy 0.62
10:14:25 1566263665743 step 2550, accuracy 0.54
10:14:26 1566263666699 step 2600, accuracy 0.56
10:14:27 1566263667681 step 2650, accuracy 0.54
10:14:28 1566263668656 step 2700, accuracy 0.64
10:14:29 1566263669634 step 2750, accuracy 0.58
10:14:30 1566263670675 step 2800, accuracy 0.58
10:14:31 1566263671636 step 2850, accuracy 0.54
10:14:32 1566263672602 step 2900, accuracy 0.6
10:14:33 1566263673554 step 2950, accuracy 0.58
10:14:34 1566263674516 step 3000, accuracy 0.6
10:14:35 1566263675433 step 3050, accuracy 0.58
10:14:36 1566263676363 step 3100, accuracy 0.62
10:14:37 1566263677329 step 3150, accuracy 0.58
10:14:38 1566263678311 step 3200, accuracy 0.58
10:14:39 1566263679228 step 3250, accuracy 0.56
10:14:40 1566263680115 step 3300, accuracy 0.58
10:14:41 1566263681085 step 3350, accuracy 0.58
10:14:42 1566263682033 step 3400, accuracy 0.64
10:14:42 1566263682924 step 3450, accuracy 0.58
10:14:43 1566263683858 step 3500, accuracy 0.6
10:14:44 1566263684733 step 3550, accuracy 0.6
10:14:45 1566263685628 step 3600, accuracy 0.64
10:14:46 1566263686529 step 3650, accuracy 0.6
10:14:47 1566263687462 step 3700, accuracy 0.64
10:14:48 1566263688402 step 3750, accuracy 0.62
10:14:49 1566263689374 step 3800, accuracy 0.66
10:14:50 1566263690326 step 3850, accuracy 0.6
10:14:51 1566263691262 step 3900, accuracy 0.6
10:14:52 1566263692207 step 3950, accuracy 0.66
10:14:53 1566263693155 step 4000, accuracy 0.64
10:14:54 1566263694113 step 4050, accuracy 0.66
10:14:55 1566263695049 step 4100, accuracy 0.62
10:14:55 1566263695988 step 4150, accuracy 0.66
10:14:56 1566263696949 step 4200, accuracy 0.66
10:14:57 1566263697886 step 4250, accuracy 0.66
10:14:58 1566263698846 step 4300, accuracy 0.62
10:14:59 1566263699786 step 4350, accuracy 0.64
10:15:00 1566263700785 step 4400, accuracy 0.66
10:15:01 1566263701720 step 4450, accuracy 0.64
10:15:02 1566263702691 step 4500, accuracy 0.66
10:15:03 1566263703663 step 4550, accuracy 0.64
10:15:04 1566263704615 step 4600, accuracy 0.66
10:15:05 1566263705544 step 4650, accuracy 0.68
10:15:06 1566263706489 step 4700, accuracy 0.68
10:15:07 1566263707434 step 4750, accuracy 0.64
10:15:08 1566263708388 step 4800, accuracy 0.68
10:15:09 1566263709378 step 4850, accuracy 0.68
10:15:10 1566263710293 step 4900, accuracy 0.66
10:15:11 1566263711202 step 4950, accuracy 0.66
10:15:12 1566263712127 step 5000, accuracy 0.66
10:15:13 1566263713076 step 5050, accuracy 0.68
10:15:14 1566263714018 step 5100, accuracy 0.7
10:15:14 1566263714942 step 5150, accuracy 0.68
10:15:15 1566263715889 step 5200, accuracy 0.66
10:15:16 1566263716840 step 5250, accuracy 0.66
10:15:17 1566263717731 step 5300, accuracy 0.68
10:15:18 1566263718618 step 5350, accuracy 0.68
10:15:19 1566263719517 step 5400, accuracy 0.72
10:15:20 1566263720424 step 5450, accuracy 0.7
10:15:21 1566263721321 step 5500, accuracy 0.68
10:15:22 1566263722262 step 5550, accuracy 0.66
10:15:23 1566263723184 step 5600, accuracy 0.7
10:15:24 1566263724132 step 5650, accuracy 0.72
10:15:25 1566263725059 step 5700, accuracy 0.7
10:15:26 1566263726005 step 5750, accuracy 0.66
10:15:26 1566263726929 step 5800, accuracy 0.72
10:15:27 1566263727796 step 5850, accuracy 0.72
10:15:28 1566263728764 step 5900, accuracy 0.72
10:15:29 1566263729692 step 5950, accuracy 0.72
10:15:30 1566263730655 step 6000, accuracy 0.68
10:15:31 1566263731568 step 6050, accuracy 0.74
10:15:32 1566263732539 step 6100, accuracy 0.72
10:15:33 1566263733431 step 6150, accuracy 0.66
10:15:34 1566263734355 step 6200, accuracy 0.76
10:15:35 1566263735314 step 6250, accuracy 0.76
10:15:36 1566263736244 step 6300, accuracy 0.72
10:15:37 1566263737183 step 6350, accuracy 0.68
10:15:38 1566263738141 step 6400, accuracy 0.72
10:15:39 1566263739047 step 6450, accuracy 0.74
10:15:39 1566263740000 step 6500, accuracy 0.72
10:15:40 1566263740969 step 6550, accuracy 0.7
10:15:41 1566263741986 step 6600, accuracy 0.78
10:15:42 1566263742895 step 6650, accuracy 0.76
10:15:43 1566263743832 step 6700, accuracy 0.72
10:15:44 1566263744741 step 6750, accuracy 0.7
10:15:45 1566263745610 step 6800, accuracy 0.74
10:15:46 1566263746485 step 6850, accuracy 0.74
10:15:47 1566263747382 step 6900, accuracy 0.72
10:15:48 1566263748263 step 6950, accuracy 0.72
10:15:49 1566263749172 step 7000, accuracy 0.8
10:15:50 1566263750105 step 7050, accuracy 0.74
10:15:51 1566263751004 step 7100, accuracy 0.7
10:15:51 1566263751915 step 7150, accuracy 0.7
10:15:52 1566263752852 step 7200, accuracy 0.78
10:15:53 1566263753752 step 7250, accuracy 0.74
10:15:54 1566263754635 step 7300, accuracy 0.74
10:15:55 1566263755538 step 7350, accuracy 0.72
10:15:56 1566263756430 step 7400, accuracy 0.84
10:15:57 1566263757290 step 7450, accuracy 0.72
10:15:58 1566263758206 step 7500, accuracy 0.78
10:15:59 1566263759117 step 7550, accuracy 0.7
10:16:00 1566263760009 step 7600, accuracy 0.84
10:16:00 1566263760937 step 7650, accuracy 0.78
10:16:01 1566263761850 step 7700, accuracy 0.74
10:16:02 1566263762712 step 7750, accuracy 0.72
10:16:03 1566263763629 step 7800, accuracy 0.84
10:16:04 1566263764525 step 7850, accuracy 0.78
10:16:05 1566263765421 step 7900, accuracy 0.76
10:16:06 1566263766317 step 7950, accuracy 0.72
10:16:07 1566263767242 step 8000, accuracy 0.82
10:16:08 1566263768150 step 8050, accuracy 0.76
